,expt,rig,exptName,exptDate,maleGT,maleDOB,maleAge,femaleGT,femaleDOB,femaleAge,cop,copFrame,exptpath,songpath,datapath
33,20230517_153128,right,20230517_153128right,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,1,24810,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_153128/right/20230517_153128right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_153128/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_153128/right/vSampleNumber_at_Frame.h5"
34,20230517_153128,left,20230517_153128left,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,1,16172,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_153128/left/20230517_153128left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_153128/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_153128/left/vSampleNumber_at_Frame.h5"
35,20230517_160901,right,20230517_160901right,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,1,24818,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_160901/right/20230517_160901right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_160901/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_160901/right/vSampleNumber_at_Frame.h5"
36,20230517_160901,left,20230517_160901left,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_160901/left/20230517_160901left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_160901/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_160901/left/vSampleNumber_at_Frame.h5"
37,20230517_164537,right,20230517_164537right,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,1,28000,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/right/20230517_164537right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/right/vSampleNumber_at_Frame.h5"
38,20230517_164537,left,20230517_164537left,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,1,3068,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/left/20230517_164537left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/left/vSampleNumber_at_Frame.h5"
39,20230518_101257,right,20230518_101257right,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-12,6,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/right/20230518_101257right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/right/vSampleNumber_at_Frame.h5"
40,20230518_101257,left,20230518_101257left,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-12,6,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/left/20230518_101257left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/left/vSampleNumber_at_Frame.h5"
41,20230518_104848,right,20230518_104848right,2023-05-18,NM91,2023-05-11,7,pc2_control,2023-05-12,6,1,76382,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/right/20230518_104848right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/right/vSampleNumber_at_Frame.h5"
42,20230518_104848,left,20230518_104848left,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-12,6,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/left/20230518_104848left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/left/vSampleNumber_at_Frame.h5"
